"","lacgene","corgene","cor","pvalue"
"322","DHH","NPAS4",0.54669186506834,2.81736022905627e-36
"323","DHH","P2RY14",0.546087400805787,3.47948450056688e-36
"324","DHH","PRIMA1",0.508114137943125,8.80851302987934e-31
"325","DHH","GNG7",0.506408053299418,1.48609480414911e-30
"326","DHH","FOXS1",0.585899627518546,1.2117266964245e-42
"327","DHH","NRXN1",0.550464117534476,7.47333848547633e-37
"328","DHH","MAB21L1",0.553471770288731,2.56286229160608e-37
"329","DHH","CHRM2",0.519006252017403,2.91166249273596e-32
"330","DHH","TMEM252",0.59382725468617,4.8810055061893e-44
"331","DHH","SLC2A4",0.510126244748024,4.73548450794692e-31
"332","DHH","SYNM",0.578808453907227,1.99075460511264e-41
"333","DHH","BGN",0.522096929797786,1.08179126485016e-32
"334","DHH","CTNNA3",0.556205454371414,9.59752477265326e-38
"335","DHH","TCEAL2",0.536840062766157,8.3373124397958e-35
"336","DHH","NAP1L2",0.585440510234556,1.45551230644122e-42
"337","DHH","FOXI2",0.513508034336509,1.65304877068183e-31
"338","DHH","KIAA0408",0.525414415935372,3.69533348824302e-33
"339","DHH","ADH1B",0.590946594944902,1.58428964996065e-43
"340","DHH","TPM2",0.525392729799848,3.72151500224984e-33
"341","DHH","ANKRD35",0.596213838172621,1.82374826242214e-44
"342","DHH","PLN",0.632538151791751,1.92911647182358e-51
"343","DHH","CCDC69",0.628911831599717,1.05566267679521e-50
"344","DHH","AARD",0.612790371163665,1.54877176043551e-47
"345","DHH","TNXB.1",0.682955104425199,8.04711215922551e-63
"346","DHH","XKR4",0.533117365494136,2.91363238322032e-34
"347","DHH","TNXB.2",0.682955104425199,8.04711215922551e-63
"348","DHH","TNXB.3",0.682955104425199,8.04711215922551e-63
"349","DHH","TNXB.4",0.682955104425199,8.04711215922551e-63
"350","DHH","TNXB.5",0.682955104425199,8.04711215922551e-63
"351","DHH","PIRT",0.507251869021934,1.14779150076987e-30
"352","DHH","TNXB.6",0.682955104425199,8.04711215922551e-63
"353","DHH","TNXB.7",0.682955104425199,8.04711215922551e-63
"354","DHH","ARHGEF25",0.648463086380335,8.39468083224926e-55
"355","DHH","C8orf88",0.603797595288379,7.55667157514797e-46
"356","DHH","FRRS1L",0.578474965811688,2.26702712429196e-41
"357","DHH","PRIMA1.1",0.508114137943125,8.80851302987934e-31
"358","DHH","MYH11.1",0.615364586586765,4.97326143030439e-48
"359","DHH","ARHGEF26.1",0.512145002010623,2.53003774070213e-31
"360","DHH","MAMDC2.1",0.536416319439646,9.62104001481516e-35
"361","DHH","FAT3.1",0.581681702793535,6.45736735506628e-42
"362","CD8A","TNFRSF17",0.538163006192681,5.32451296272936e-35
"363","CD8A","CD79A",0.58659196776997,9.18570310458879e-43
"364","CD8A","FGL2",0.579809023666438,1.34676892314917e-41
"365","CD8A","APOC1",0.502895546329394,4.32197166314128e-30
"366","CD8A","IDO1",0.649995891095572,3.88859439534984e-55
"367","CD8A","CXCL9",0.703123683649345,4.80020543080579e-68
"368","CD8A","FCGR1A",0.542106768118953,1.38225526214624e-35
"369","CD8A","PNOC",0.536079985822577,1.07776860128354e-34
"370","CD8A","CXCL10",0.601923777459554,1.67263374709158e-45
"371","CD8A","CXCL11",0.551780612349637,4.68435217558063e-37
"372","CD8A","MZB1",0.540317284489209,2.5544946595004e-35
"373","CD8A","CCR8",0.608953961711108,8.25774389029641e-47
"374","CD8A","FCGR3A",0.56086373461963,1.76247164422184e-38
"375","CD8A","IGLL5",0.536795637788173,8.46351551107685e-35
"376","PCSK7","CATSPERB",0.515123652209895,9.9565345642432e-32
"377","PCSK7","CATSPERB.1",0.515123652209895,9.9565345642432e-32
"378","NLRP3","FAP",0.54696572707501,2.560043507645e-36
"379","NLRP3","ADAMTS2",0.519033635864064,2.88636014953342e-32
"380","NLRP3","TREM2",0.569457518578599,7.19935880391333e-40
"381","NLRP3","NR4A3",0.511719795032681,2.88814556792587e-31
"382","NLRP3","FGL2",0.663359692029988,3.90854835122145e-58
"383","NLRP3","LYVE1",0.550723068057997,6.81840513331139e-37
"384","NLRP3","SDS",0.511858932286909,2.76576504779195e-31
"385","NLRP3","SLC2A5",0.514291180503192,1.29331728260246e-31
"386","NLRP3","PLA2G7",0.632850110040836,1.66493454274499e-51
"387","NLRP3","FCGR1A",0.54378676298465,7.7398029656151e-36
"388","NLRP3","ABI3BP",0.515884779271142,7.83379838916533e-32
"389","NLRP3","COL3A1",0.517262488029653,5.06766635627909e-32
"390","NLRP3","COL3A1.1",0.517262488029653,5.06766635627909e-32
"391","NLRP3","GFRA2",0.501122450276916,7.37375668251062e-30
"392","NLRP3","OLR1",0.583216610150604,3.52252109406965e-42
"393","NLRP3","CCR8",0.646901915785084,1.82988720677156e-54
"394","NLRP3","THBS2",0.512943896670297,1.97192203385563e-31
"395","NLRP3","SUCNR1",0.525179160242647,3.98936629245967e-33
"396","NLRP3","FCGR3A",0.600540930838942,2.99638326909425e-45
"397","NOD2","TMEM154",0.509254480631538,6.19961210927246e-31
"398","ADRB2","HSPB6",0.60471427692145,5.1131177215272e-46
"399","ADRB2","PDK4",0.56489128260793,3.98378491170289e-39
"400","ADRB2","ATP1A2",0.612385370849357,1.85008826856461e-47
"401","ADRB2","FHL1",0.686149901589497,1.27773784564146e-63
"402","ADRB2","GPM6B",0.508493452953495,7.83839753267171e-31
"403","ADRB2","METTL24",0.639003270106069,8.80361703759006e-53
"404","ADRB2","NTN1",0.575155548525214,8.19807974414036e-41
"405","ADRB2","PDZD4",0.666858544431785,6.04517561156925e-59
"406","ADRB2","PYGM",0.598570060499291,6.84439124161184e-45
"407","ADRB2","CDH19",0.543969559308694,7.26507414956862e-36
"408","ADRB2","LIMS2",0.580034828598113,1.23284702130015e-41
"409","ADRB2","WSCD2",0.557282426685364,6.5016237586682e-38
"410","ADRB2","ITGA8",0.600386021497875,3.19804197190868e-45
"411","ADRB2","ADCYAP1R1",0.604892422123158,4.73863878444726e-46
"412","ADRB2","COL19A1",0.509355295732244,6.00967917475096e-31
"413","ADRB2","GNAO1",0.645910943609436,2.99373553869868e-54
"414","ADRB2","TPX2",-0.52784079361604,1.6718414750095e-33
"415","ADRB2","CMA1",0.568758978074472,9.36935002698488e-40
"416","ADRB2","CDC6",-0.500882772707426,7.92403205078004e-30
"417","ADRB2","SORBS1",0.517655657889495,4.47368890008818e-32
"418","ADRB2","CRTAC1",0.534133682169976,2.07372404592084e-34
"419","ADRB2","EFS",0.581259622806412,7.62409345353567e-42
"420","ADRB2","MYL9",0.536153848691643,1.05124184096349e-34
"421","ADRB2","CHRDL1",0.648918266507216,6.68280043066447e-55
"422","ADRB2","KLF8",0.509042524972875,6.61851130835606e-31
"423","ADRB2","SFRP1",0.663010085969205,4.70338008038906e-58
"424","ADRB2","PTN",0.596161773214085,1.86350370858445e-44
"425","ADRB2","SORCS1",0.646066284625671,2.77174430708986e-54
"426","ADRB2","ASPA",0.681976075619072,1.40768152842285e-62
"427","ADRB2","SGCA",0.581999831263117,5.69663429839976e-42
"428","ADRB2","CRYAB",0.609807225381777,5.70235842270053e-47
"429","ADRB2","ZBTB16",0.664356219659796,2.30281779584611e-58
"430","ADRB2","GHR",0.685902081315299,1.47504097421147e-63
"431","ADRB2","BCHE",0.531240225676956,5.44369849865852e-34
"432","ADRB2","PLCD4",0.522599101320627,9.20153279688313e-33
"433","ADRB2","SLC5A7",0.503605968128216,3.48612269033746e-30
"434","ADRB2","ANGPTL1",0.643588028875455,9.42436393249343e-54
"435","ADRB2","NT5C1A",0.514358110101323,1.26643707998686e-31
"436","ADRB2","HPCAL4",0.531086675993679,5.72828073271629e-34
"437","ADRB2","ELOVL4",0.550972629679434,6.24111583430309e-37
"438","ADRB2","CASQ2",0.617718256330751,1.74404918246008e-48
"439","ADRB2","PPP1R3C",0.623082716253432,1.54811939083334e-49
"440","ADRB2","SLITRK3",0.506785231022866,1.3241591612024e-30
"441","ADRB2","LDB3",0.601257602709628,2.21579858950768e-45
"442","ADRB2","NECAB1",0.503238643292381,3.89611007413835e-30
"443","ADRB2","PLP1",0.65949909630489,2.97724100112209e-57
"444","ADRB2","HSPA2",0.514052632773001,1.39379528433229e-31
"445","ADRB2","TMEM35A",0.551210618392806,5.73578991040506e-37
"446","ADRB2","FGL2",0.548333221039703,1.58479737720648e-36
"447","ADRB2","LRRC4",0.607100149428332,1.83888735320508e-46
"448","ADRB2","KCNA5",0.523854072283741,6.13341899030267e-33
"449","ADRB2","CNN1",0.558054530147438,4.91341731864868e-38
"450","ADRB2","CKMT2",0.581907520491704,5.90772724608574e-42
"451","ADRB2","TOP2A",-0.503838754247942,3.24870487192147e-30
"452","ADRB2","MYH11",0.622000414107538,2.53305750676189e-49
"453","ADRB2","LYVE1",0.543567382699981,8.35024438280108e-36
"454","ADRB2","PEBP4",0.593218333097522,6.26648363155408e-44
"455","ADRB2","GSTM5",0.669941757355521,1.14262846497876e-59
"456","ADRB2","RERG",0.549078365737853,1.21921931299091e-36
"457","ADRB2","ADGRB3",0.554147915275396,2.01180393153947e-37
"458","ADRB2","EPHA7",0.50359358718551,3.49921978271952e-30
"459","ADRB2","SCN7A",0.639964095863277,5.52918366108424e-53
"460","ADRB2","TMOD1",0.575627117342095,6.83584279441104e-41
"461","ADRB2","DNAJB5",0.580221001674022,1.14614534783137e-41
"462","ADRB2","FXYD6",0.510768739917676,3.88077558575262e-31
"463","ADRB2","HDC",0.639580668672066,6.65821129160486e-53
"464","ADRB2","CYP11A1",0.524892857957884,4.37858599323947e-33
"465","ADRB2","MAPK4",0.505447150857682,1.99258210001953e-30
"466","ADRB2","RXRG",0.59138809825281,1.32373110960121e-43
"467","ADRB2","DPT",0.650463755575592,3.07181030431967e-55
"468","ADRB2","TSLP",0.544853652815914,5.34622416443433e-36
"469","ADRB2","KCNMB1",0.591356778884842,1.34072396082657e-43
"470","ADRB2","HMGCLL1",0.543204139847616,9.46750040335602e-36
"471","ADRB2","ADHFE1",0.661361976959387,1.12188646792359e-57
"472","ADRB2","PMP2",0.520566585555958,1.76850911470507e-32
"473","ADRB2","RSPO2",0.518003131791642,4.00642876349644e-32
"474","ADRB2","NCAM1",0.570753566431336,4.40844994300335e-40
"475","ADRB2","TAGLN",0.539438346614052,3.44924051740602e-35
"476","ADRB2","JPH2",0.545275071134785,4.61763070229694e-36
"477","ADRB2","GPM6A",0.59458450380592,3.57469273970661e-44
"478","ADRB2","GFRA1",0.68880646373692,2.7164087524365e-64
"479","ADRB2","HSPB8",0.683557534526627,5.69800460272257e-63
"480","ADRB2","C16orf89",0.682386961106545,1.11350821183138e-62
"481","ADRB2","LGI4",0.588689533780137,3.95271124996897e-43
"482","ADRB2","ABI3BP",0.66850481541585,2.48988067320706e-59
"483","ADRB2","PGM5",0.647593384107255,1.29651464449342e-54
"484","ADRB2","CHODL",0.565946342324696,2.68934587550144e-39
"485","ADRB2","KCNB1",0.567644381413254,1.42464811071395e-39
"486","ADRB2","NRG2",0.609363347903374,6.91463171566526e-47
"487","ADRB2","FNDC5",0.516907531713793,5.67057909631483e-32
"488","ADRB2","S100B",0.52879561484829,1.22146306023336e-33
"489","ADRB2","RECQL4",-0.523407993410341,7.08601223985902e-33
"490","ADRB2","CADM3",0.729006691390044,1.95824030071059e-75
"491","ADRB2","LRRTM1",0.503986253532916,3.10662325525936e-30
"492","ADRB2","ACTG2",0.544213212368699,6.67685606053793e-36
"493","ADRB2","C1QTNF7",0.620384169440986,5.26534711696131e-49
"494","ADRB2","NPPC",0.534420415824461,1.88362396549958e-34
"495","ADRB2","LMOD1",0.637221425878002,2.07668244355507e-52
"496","ADRB2","CLEC3B",0.617504836819089,1.91859065505212e-48
"497","ADRB2","GRIK3",0.567455306129429,1.52936917455008e-39
"498","ADRB2","ENPP6",0.505891663871926,1.73998420585685e-30
"499","ADRB2","PI16",0.565135393449969,3.63803622606191e-39
"500","ADRB2","GPER1",0.519201627874441,2.73583111200965e-32
"501","ADRB2","MAMDC2",0.708668164153908,1.46830331892518e-69
"502","ADRB2","VEGFD",0.57847576112333,2.26632503485205e-41
